status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
pending,The zebrafish reference genome sequence and its relationship to the human genome,Kerstin Howe; Matthew D. Clark; Carlos Torroja; James Torrance; Camille Berthelot; Matthieu Muffato; John Collins; Sean Humphray; Karen McLaren; Lucy Matthews; Stuart McLaren; Ian Sealy; Mario Cáccamo; Carol Churcher; Carol Scott; Jeffrey C. Barrett; Romke Koch; Gerd-Jörg Rauch; Simon White; William Chow; Britt Kilian; Leonor Quintais; José Afonso Guerra‐Assunção; Yi Zhou; Yong Gu; Jennifer Yen; Jan-Hinnerk Vogel; T. A. Eyre; Seth Redmond; Ruby Banerjee; Jianxiang Chi; Beiyuan Fu; Elizabeth Langley; Sean Maguire; Gavin K. Laird; David Lloyd; Emma Kenyon; Sarah Donaldson; Harminder Sehra; J. P. Almeida; Jane Loveland; Stephen J. Trevanion; Matt Jones; Mike Quail; Dave Willey; Adrienne Hunt; John H. Burton; Sarah Sims; Kirsten McLay; Bob Plumb; Joy Davis; Chris M. Clee; Karen Oliver; Richard Clark; Clare Riddle; David Elliott; Glen Threadgold; Glenn Harden; Darren Ware; Sharmin Begum; Beverley Mortimore; Giselle Kerry; P. D. Heath; Benjamin Phillimore; Alan Tracey; N. Corby; Matthew Dunn; Christopher M. Johnson; Jonathan Wood; Susan Clark; Sarah Pelan; Guy Griffiths; Michelle Smith; Rebecca Glithero; Philip Howden; Nicholas Barker; Christine Lloyd; Christopher Stevens; Joanna Harley; Karen Holt; Georgios Panagiotidis; J. Lovell; Helen Beasley; Carl Henderson; Daria Gordon; Katherine A. Auger; Deborah Wright; Joanna Collins; Claire Raisen; Lauren Dyer; Kenric Leung; Lauren Robertson; Kirsty Ambridge; Daniel Leongamornlert; Sarah McGuire; Ruth Gilderthorp; Chris Griffiths; Deepa Manthravadi; Sarah Nichol; Gary Barker,2013,Nature,10.1038/nature12111,https://openalex.org/W1981239255,,"A high-quality sequence assembly of the zebrafish genome reveals the largest gene set of any vertebrate and provides information on key genomic features, and comparison to the human reference genome shows that approximately 70% of human protein-coding genes have at least one clear zebrafish orthologue. The genome of the zebrafish — a key model organism for the study of development and human disease — has now been sequenced and published as a well-annotated reference genome. Zebrafish turns out to have the largest gene set of any vertebrate so far sequenced, and few pseudogenes. Importantly for disease studies, comparison between human and zebrafish sequences reveals that 70% of human genes have at least one obvious zebrafish orthologue. A second paper reports on an ongoing effort to identify and phenotype disruptive mutations in every zebrafish protein-coding gene. Using the reference genome sequence along with high-throughput sequencing and efficient chemical mutagenesis, the project's initial results — covering 38% of all known protein-coding genes — they describe phenotypic consequences of more than 1,000 alleles. The long-term goal is the creation of a knockout allele in every protein-coding gene in the zebrafish genome. All mutant alleles and data are freely available at go.nature.com/en6mos . Zebrafish have become a popular organism for the study of vertebrate gene function1,2. The virtually transparent embryos of this species, and the ability to accelerate genetic studies by gene knockdown or overexpression, have led to the widespread use of zebrafish in the detailed investigation of vertebrate gene function and increasingly, the study of human genetic disease3,4,5. However, for effective modelling of human genetic disease it is important to understand the extent to which zebrafish genes and gene structures are related to orthologous human genes. To examine this, we generated a high-quality sequence assembly of the zebrafish genome, made up of an overlapping set of completely sequenced large-insert clones that were ordered and oriented using a high-resolution high-density meiotic map. Detailed automatic and manual annotation provides evidence of more than 26,000 protein-coding genes6, the largest gene set of any vertebrate so far sequenced. Comparison to the human reference genome shows that approximately 70% of human genes have at least one obvious zebrafish orthologue. In addition, the high quality of this genome assembly provides a clearer understanding of key genomic features such as a unique repeat content, a scarcity of pseudogenes, an enrichment of zebrafish-specific genes on chromosome 4 and chromosomal regions that influence sex determination.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,BRAF gene duplication constitutes a mechanism of MAPK pathway activation in low-grade astrocytomas,Stefan M. Pfister; Wibke G. Janzarik; Marc Remke; Aurélie Ernst; Wiebke Werft; Natália Becker; Grischa Toedt; Andrea Wittmann; Christian P. Kratz; Heike Olbrich; Rezvan Ahmadi; Barbara Thieme; Stefan Joos; Bernhard Radlwimmer; Andreas E. Kulozik; Torsten Pietsch; Christel Herold‐Mende; Astrid Gnekow; Guido Reifenberger; Andrey Korshunov; Wolfram Scheurlen; Heymut Omran; Peter Lichter,2008,Journal of Clinical Investigation,10.1172/jci33656,https://openalex.org/W2126595521,,"The molecular pathogenesis of pediatric astrocytomas is still poorly understood. To further understand the genetic abnormalities associated with these tumors, we performed a genome-wide analysis of DNA copy number aberrations in pediatric low-grade astrocytomas by using array-based comparative genomic hybridization. Duplication of the BRAF protooncogene was the most frequent genomic aberration, and tumors with BRAF duplication showed significantly increased mRNA levels of BRAF and a downstream target, CCND1, as compared with tumors without duplication. Furthermore, denaturing HPLC showed that activating BRAF mutations were detected in some of the tumors without BRAF duplication. Similarly, a marked proportion of low-grade astrocytomas from adult patients also had BRAF duplication. Both the stable silencing of BRAF through shRNA lentiviral transduction and pharmacological inhibition of MEK1/2, the immediate downstream phosphorylation target of BRAF, blocked the proliferation and arrested the growth of cultured tumor cells derived from low-grade gliomas. Our findings implicate aberrant activation of the MAPK pathway due to gene duplication or mutation of BRAF as a molecular mechanism of pathogenesis in low-grade astrocytomas and suggest inhibition of the MAPK pathway as a potential treatment.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Establishment of H3K9-methylated heterochromatin and its functions in tissue differentiation and maintenance,Jan Padeken; Stephen P. Methot; Susan M. Gasser,2022,Nature Reviews Molecular Cell Biology,10.1038/s41580-022-00483-w,https://openalex.org/W4280577955,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Landscape of somatic mutations in 560 breast cancer whole-genome sequences,Serena Nik‐Zainal; Helen Davies; Johan Staaf; Manasa Ramakrishna; Dominik Głodzik; Xueqing Zou; Iñigo Martincorena; Ludmil B. Alexandrov; Sancha Martin; David C. Wedge; Peter Van Loo; Young Seok Ju; Marcel Smid; Arie B. Brinkman; Sandro Morganella; Miriam R. R. Aure; Ole Christian Lingjærde; Anita Langerød; Markus Ringnér; Sung‐Min Ahn; Sandrine Boyault; Jane E. Brock; Annegien Broeks; Adam P. Butler; Christine Desmedt; Luc Dirix; Serge Dronov; Aquila Fatima; John A. Foekens; Moritz Gerstung; Gerrit K. Hooijer; Se Jin Jang; David Jones; Hyung-Yong Kim; Tari King; Savitri Krishnamurthy; Hee Jin Lee; Jeong‐Yeon Lee; Yilong Li; Stuart McLaren; Andrew Menzies; Ville Mustonen; Sarah O’Meara; Iris Pauporté; Xavier Pivot; Colin A. Purdie; Keiran Raine; Kamna Ramakrishnan; F. Germán Rodríguez-González; Gilles Romieu; Anieta M. Sieuwerts; Peter T. Simpson; Rebecca Shepherd; Lucy Stebbings; Olafur A. Stefansson; Jon W. Teague; Stefania Tommasi; Isabelle Treilleux; Gert G. Van den Eynden; Peter Vermeulen; Anne Vincent‐Salomon; Lucy Yates; Carlos Caldas; Laura van’t Veer; Andrew Tutt; Stian Knappskog; Benita Kiat Tee Tan; Jos Jonkers; Åke Borg; Naoto T. Ueno; Christos Sotiriou; Alain Viari; P. Andrew Futreal; Peter J. Campbell; Paul N. Span; Steven Van Laere; Sunil R. Lakhani; Jorunn E. Eyfjord; Alastair M. Thompson; Ewan Birney; Hendrik G. Stunnenberg; Marc J. van de Vijver; John W.M. Martens; Anne‐Lise Børresen‐Dale; Andrea L. Richardson; Gu Kong; Gilles Thomas; Michael R. Stratton,2016,Nature,10.1038/nature17676,https://openalex.org/W2344657883,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Genetics of human neural tube defects,Nicholas D. E. Greene; Philip Stanier; Andrew J. Copp,2009,Human Molecular Genetics,10.1093/hmg/ddp347,https://openalex.org/W2103953947,,"Neural tube defects (NTDs) are common, severe congenital malformations whose causation involves multiple genes and environmental factors. Although more than 200 genes are known to cause NTDs in mice, there has been rather limited progress in delineating the molecular basis underlying most human NTDs. Numerous genetic studies have been carried out to investigate candidate genes in cohorts of patients, with particular reference to those that participate in folate one-carbon metabolism. Although the homocysteine remethylation gene MTHFR has emerged as a risk factor in some human populations, few other consistent findings have resulted from this approach. Similarly, attention focused on the human homologues of mouse NTD genes has contributed only limited positive findings to date, although an emerging association between genes of the non-canonical Wnt (planar cell polarity) pathway and NTDs provides candidates for future studies. Priorities for the next phase of this research include: (i) larger studies that are sufficiently powered to detect significant associations with relatively minor risk factors; (ii) analysis of multiple candidate genes in groups of well-genotyped individuals to detect possible gene-gene interactions; (iii) use of high throughput genomic technology to evaluate the role of copy number variants and to detect 'private' and regulatory mutations, neither of which have been studied to date; (iv) detailed analysis of patient samples stratified by phenotype to enable, for example, hypothesis-driven testing of candidates genes in groups of NTDs with specific defects of folate metabolism, or in groups of fetuses with well-defined phenotypes such as craniorachischisis.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Nuclear genetic defects of oxidative phosphorylation,Eric A. Shoubridge,2001,Human Molecular Genetics,10.1093/hmg/10.20.2277,https://openalex.org/W2053671179,,"ATP generated by oxidative phosphorylation is necessary for the normal function of most cells in the body. Partial deficiencies in this system are an important cause of a large and diverse group of multisystem disorders. As both the nuclear and mitochondrial genomes encode structural components of the enzyme complexes of the oxidative phosphorylation system, the disorders can be transmitted either in a Mendelian fashion or maternally, or can occur as sporadic cases. Over the last 12 years more than 100 mutations have been uncovered in mtDNA, mostly associated with disease in the adult population. Recently, much attention has turned to the investigation of the nuclear oxidative phosphorylation gene defects. The majority of these are inherited as autosomal recessive traits, producing severe, and usually fatal disease in infants. Adult-onset Mendelian oxidative phosphorylation diseases, which can be inherited as autosomal recessive or dominant traits, have a milder phenotype, and most are associated with multiple mtDNA deletions. Approximately 20 different nuclear gene defects have now been identified in genes coding for structural components of the complexes, assembly/maintenance factors and factors necessary for the maintenance of mtDNA integrity. Some clear genotype-phenotype associations have emerged, and there is an unexpected link between some structural gene mutations and rare cancers, implicating mitochondria as oxygen sensors in the hypoxia response.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,The Centrosome and Its Duplication Cycle,Jingyan Fu; Iain Hagan; David M. Glover,2015,Cold Spring Harbor Perspectives in Biology,10.1101/cshperspect.a015800,https://openalex.org/W2021468144,,"The centrosome was discovered in the late 19th century when mitosis was first described. Long recognized as a key organelle of the spindle pole, its core component, the centriole, was realized more than 50 or so years later also to comprise the basal body of the cilium. Here, we chart the more recent acquisition of a molecular understanding of centrosome structure and function. The strategies for gaining such knowledge were quickly developed in the yeasts to decipher the structure and function of their distinctive spindle pole bodies. Only within the past decade have studies with model eukaryotes and cultured cells brought a similar degree of sophistication to our understanding of the centrosome duplication cycle and the multiple roles of this organelle and its component parts in cell division and signaling. Now as we begin to understand these functions in the context of development, the way is being opened up for studies of the roles of centrosomes in human disease.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,PRC2 is high maintenance,Jia-Ray Yu; Chul‐Hwan Lee; Ozgur Oksuz; James M. Stafford; Danny Reinberg,2019,Genes & Development,10.1101/gad.325050.119,https://openalex.org/W2945156762,,"As the process that silences gene expression ensues during development, the stage is set for the activity of Polycomb-repressive complex 2 (PRC2) to maintain these repressed gene profiles. PRC2 catalyzes a specific histone posttranslational modification (hPTM) that fosters chromatin compaction. PRC2 also facilitates the inheritance of this hPTM through its self-contained ""write and read"" activities, key to preserving cellular identity during cell division. As these changes in gene expression occur without changes in DNA sequence and are inherited, the process is epigenetic in scope. Mutants of mammalian PRC2 or of its histone substrate contribute to the cancer process and other diseases, and research into these aberrant pathways is yielding viable candidates for therapeutic targeting. The effectiveness of PRC2 hinges on its being recruited to the proper chromatin sites; however, resolving the determinants to this process in the mammalian case was not straightforward and thus piqued the interest of many in the field. Here, we chronicle the latest advances toward exposing mammalian PRC2 and its high maintenance.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,From Corrective to Predictive Maintenance—A Review of Maintenance Approaches for the Power Industry,Marek Molęda; Bożena Małysiak-Mrozek; Weiping Ding; Vaidy Sunderam; Dariusz Mrozek,2023,Sensors,10.3390/s23135970,https://openalex.org/W4382402849,,"Appropriate maintenance of industrial equipment keeps production systems in good health and ensures the stability of production processes. In specific production sectors, such as the electrical power industry, equipment failures are rare but may lead to high costs and substantial economic losses not only for the power plant but for consumers and the larger society. Therefore, the power production industry relies on a variety of approaches to maintenance tasks, ranging from traditional solutions and engineering know-how to smart, AI-based analytics to avoid potential downtimes. This review shows the evolution of maintenance approaches to support maintenance planning, equipment monitoring and supervision. We present older techniques traditionally used in maintenance tasks and those that rely on IT analytics to automate tasks and perform the inference process for failure detection. We analyze prognostics and health-management techniques in detail, including their requirements, advantages and limitations. The review focuses on the power-generation sector. However, some of the issues addressed are common to other industries. The article also presents concepts and solutions that utilize emerging technologies related to Industry 4.0, touching on prescriptive analysis, Big Data and the Internet of Things. The primary motivation and purpose of the article are to present the existing practices and classic methods used by engineers, as well as modern approaches drawing from Artificial Intelligence and the concept of Industry 4.0. The summary of existing practices and the state of the art in the area of predictive maintenance provides two benefits. On the one hand, it leads to improving processes by matching existing tools and methods. On the other hand, it shows researchers potential directions for further analysis and new developments.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Overexpression of a kinase‐inactive ATR protein causes sensitivity to DNA‐damaging agents and defects in cell cycle checkpoints,William A. Cliby; Christopher J. Roberts; Karlene A. Cimprich; Cheri M. Stringer; John R. Lamb; Stuart L. Schreiber; Stephen H. Friend,1998,The EMBO Journal,10.1093/emboj/17.1.159,https://openalex.org/W2133318290,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Maintenance of Epigenetic Information,Geneviève Almouzni; Howard Cedar,2016,Cold Spring Harbor Perspectives in Biology,10.1101/cshperspect.a019372,https://openalex.org/W2347124524,,"The genome is subject to a diverse array of epigenetic modifications from DNA methylation to histone posttranslational changes. Many of these marks are somatically stable through cell division. This article focuses on our knowledge of the mechanisms governing the inheritance of epigenetic marks, particularly, repressive ones, when the DNA and chromatin template are duplicated in S phase. This involves the action of histone chaperones, nucleosome-remodeling enzymes, histone and DNA methylation binding proteins, and chromatin-modifying enzymes. Last, the timing of DNA replication is discussed, including the question of whether this constitutes an epigenetic mark that facilitates the propagation of epigenetic marks.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Role of SWI/SNF in acute leukemia maintenance and enhancer-mediated Myc regulation,Junwei Shi; Warren A. Whyte; Cinthya Zepeda‐Mendoza; Joseph P. Milazzo; Chen Shen; Jae‐Seok Roe; Jessica L. Minder; Fatih Mercan; Eric Wang; Mélanie Eckersley-Maslin; Amy E. Campbell; Shinpei Kawaoka; Sarah J. Shareef; Zhu Zhu; Jude Kendall; Matthias Muhar; Christian Haslinger; Ming Yu; Robert G. Roeder; Michael Wigler; Gerd A. Blobel; Johannes Zuber; David L. Spector; Richard A. Young; Christopher R. Vakoc,2013,Genes & Development,10.1101/gad.232710.113,https://openalex.org/W2148261329,,"Cancer cells frequently depend on chromatin regulatory activities to maintain a malignant phenotype. Here, we show that leukemia cells require the mammalian SWI/SNF chromatin remodeling complex for their survival and aberrant self-renewal potential. While Brg1, an ATPase subunit of SWI/SNF, is known to suppress tumor formation in several cell types, we found that leukemia cells instead rely on Brg1 to support their oncogenic transcriptional program, which includes Myc as one of its key targets. To account for this context-specific function, we identify a cluster of lineage-specific enhancers located 1.7 Mb downstream from Myc that are occupied by SWI/SNF as well as the BET protein Brd4. Brg1 is required at these distal elements to maintain transcription factor occupancy and for long-range chromatin looping interactions with the Myc promoter. Notably, these distal Myc enhancers coincide with a region that is focally amplified in ∼3% of acute myeloid leukemias. Together, these findings define a leukemia maintenance function for SWI/SNF that is linked to enhancer-mediated gene regulation, providing general insights into how cancer cells exploit transcriptional coactivators to maintain oncogenic gene expression programs.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Whole genomes redefine the mutational landscape of pancreatic cancer,Australian Pancreatic Cancer Genome Initiative; Nicola Waddell; Marina Pajic; Ann‐Marie Patch; David K. Chang; Karin S. Kassahn; Peter J. Bailey; Amber L. Johns; David S. Miller; Kátia Nones; Kelly Quek; Michael C. Quinn; Alan J. Robertson; Muhammad Zaki Hidayatullah Fadlullah; Timothy J. C. Bruxner; Angelika N. Christ; Ivon Harliwong; Senel Idrisoglu; Suzanne Manning; Craig Nourse; Ehsan Nourbakhsh; Shivangi Wani; Peter J. Wilson; Emma Markham; Nicole Cloonan; Matthew J. Anderson; J. Lynn Fink; Oliver Holmes; Stephen H. Kazakoff; Conrad Leonard; Felicity Newell; Barsha Poudel; Sarah Song; Darrin F. Taylor; Nick M. Waddell; Scott Wood; Qinying Xu; Jianmin Wu; Mark Pinese; Mark J. Cowley; Hong C. Lee; Marc D. Jones; Adnan Nagrial; Jeremy L. Humphris; Lorraine A. Chantrill; Venessa Chin; Angela Steinmann; Amanda Mawson; Emily S. Humphrey; Emily K. Colvin; Angela Chou; Christopher J. Scarlett; Andreia V. Pinho; Marc Giry-Laterrière; Ilse Rooman; Jaswinder S. Samra; James G. Kench; Jessica A. Pettitt; Neil D. Merrett; Christopher W. Toon; Krishna Epari; Nam Q. Nguyen; Andrew P. Barbour; Nikolajs Zeps; Nigel B. Jamieson; Janet Graham; Simone P. Niclou; Rolf Bjerkvig; Robert Grützmann; Daniela E. Aust; Ralph H. Hruban; Anirban Maitra; Christine A. Iacobuzio–Donahue; Christopher L. Wolfgang; Richard A. Morgan; Rita T. Lawlor; Vincenzo Corbo; Claudio Bassi; Massimo Falconi; Giuseppe Zamboni; Giampaolo Tortora; Margaret A. Tempero; Anthony J. Gill; James R. Eshleman; Christian Pilarsky; Aldo Scarpa; Elizabeth A. Musgrove; John V. Pearson; Andrew V. Biankin; Sean M. Grimmond,2015,Nature,10.1038/nature14169,https://openalex.org/W1987313243,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,"Mutation of OPA1 causes dominant optic atrophy with external ophthalmoplegia, ataxia, deafness and multiple mitochondrial DNA deletions: a novel disorder of mtDNA maintenance",Gavin Hudson; Patrizia Amati‐Bonneau; Emma L. Blakely; Joanna D. Stewart; Langping He; Andrew M. Schaefer; Philip G. Griffiths; Kati J. Ahlqvist; Anu Suomalainen; Pascal Reynier; Robert McFarland; Douglass M. Turnbull; Patrick F. Chinnery; Robert W. Taylor,2007,Brain,10.1093/brain/awm272,https://openalex.org/W2120695551,,"Mutations in nuclear genes involved in mitochondrial DNA (mtDNA) maintenance cause a wide range of clinical phenotypes associated with the secondary accumulation of multiple mtDNA deletions in affected tissues. The majority of families with autosomal dominant progressive external ophthalmoplegia (PEO) harbour mutations in genes encoding one of three well-characterized proteins--pol gamma, Twinkle or Ant 1. Here we show that a heterozygous mis-sense mutation in OPA1 leads to multiple mtDNA deletions in skeletal muscle and a mosaic defect of cytochrome c oxidase (COX). The disorder presented with visual failure and optic atrophy in childhood, followed by PEO, ataxia, deafness and a sensory-motor neuropathy in adult life. COX-deficient skeletal muscle fibres contained supra-threshold levels of multiple mtDNA deletions, and genetic linkage, sequencing and expression analysis excluded POLG1, PEO1 and SLC25A4, the gene encoding Ant 1, as the cause. This demonstrates the importance of OPA1 in mtDNA maintenance, and implicates OPA1 in diseases associated with secondary defects of mtDNA.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,High Rates of Actin Filament Turnover in Budding Yeast and Roles for Actin in Establishment and Maintenance of Cell Polarity Revealed Using the Actin Inhibitor Latrunculin-A,Kathryn R. Ayscough; Joel Stryker; Navin Pokala; Miranda L. Sanders; P. Crews; David G. Drubin,1997,The Journal of Cell Biology,10.1083/jcb.137.2.399,https://openalex.org/W2101441813,,"We report that the actin assembly inhibitor latrunculin-A (LAT-A) causes complete disruption of the yeast actin cytoskeleton within 2-5 min, suggesting that although yeast are nonmotile, their actin filaments undergo rapid cycles of assembly and disassembly in vivo. Differences in the LAT-A sensitivities of strains carrying mutations in components of the actin cytoskeleton suggest that tropomyosin, fimbrin, capping protein, Sla2p, and Srv2p act to increase actin cytoskeleton stability, while End3p and Sla1p act to decrease stability. Identification of three LAT-A resistant actin mutants demonstrated that in vivo effects of LAT-A are due specifically to impairment of actin function and implicated a region on the three-dimensional actin structure as the LAT-A binding site. LAT-A was used to determine which of 19 different proteins implicated in cell polarity development require actin to achieve polarized localization. Results show that at least two molecular pathways, one actin-dependent and the other actin-independent, underlie polarity development. The actin-dependent pathway localizes secretory vesicles and a putative vesicle docking complex to sites of cell surface growth, providing an explanation for the dependence of polarized cell surface growth on actin function. Unexpectedly, several proteins that function with actin during cell polarity development, including an unconventional myosin (Myo2p), calmodulin, and an actin-interacting protein (Bud6/Aip3p), achieved polarized localization by an actin-independent pathway, revealing interdependence among cell polarity pathways. Finally, transient actin depolymerization caused many cells to abandon one bud site or mating projection and to initiate growth at a second site. Thus, actin filaments are also required for maintenance of an axis of cell polarity.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Diseases caused by defects of mitochondrial carriers: A review,Ferdinando Palmieri,2008,Biochimica et Biophysica Acta (BBA) - Bioenergetics,10.1016/j.bbabio.2008.03.008,https://openalex.org/W2046790183,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,"POU domain family values: flexibility, partnerships, and developmental codes.",Aimee K. Ryan; Michael G. Rosenfeld,1997,Genes & Development,10.1101/gad.11.10.1207,https://openalex.org/W2046707099,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,CEP152 is a genome maintenance protein disrupted in Seckel syndrome,Ersan Kalay; Gökhan Yigit; Yakup Aslan; Karen Brown; Esther Pohl; Louise S. Bicknell; Hülya Kayserili; Yun Li; Beyhan Tüysüz; Gudrun Nürnberg; Wieland Kieß; Manfred Koegl; Ingelore Baessmann; Celal Kurtuluş Buruk; Bayram Toraman; Saadettin Kayıpmaz; Sibel Kul; Mevlit Íkbal; Daniel J. Turner; Martin S. Taylor; Jan Aerts; Carol Scott; Karen Milstein; Hélène Dollfus; Dagmar Wieczorek; Han G. Brunner; Matthew E. Hurles; Andrew P. Jackson; Anita Rauch; Peter Nürnberg; Ahmet Karagüzel; Bernd Wollnik,2010,Nature Genetics,10.1038/ng.725,https://openalex.org/W1988156733,,"Bernd Wollnik and colleagues report mutations in CEP152 cause Seckel syndrome, which is characterized by short stature, severe microcephaly and mental retardation. The work suggests that CEP152 has a function in genome maintenance. Functional impairment of DNA damage response pathways leads to increased genomic instability. Here we describe the centrosomal protein CEP152 as a new regulator of genomic integrity and cellular response to DNA damage. Using homozygosity mapping and exome sequencing, we identified CEP152 mutations in Seckel syndrome and showed that impaired CEP152 function leads to accumulation of genomic defects resulting from replicative stress through enhanced activation of ATM signaling and increased H2AX phosphorylation.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Targeting the Notch-regulated non-coding RNA TUG1 for glioma treatment,Keisuke Katsushima; Atsushi Natsume; Fumiharu Ohka; Keiko Shinjo; Akira Hatanaka; Norihisa Ichimura; Shinya Sato; Satoru Takahashi; Hiroshi Kimurâ; Yasushi Totoki; Tatsuhiro Shibata; Mitsuru Naito; Hyun Jin Kim; Kanjiro Miyata; Kazunori Kataoka; Yutaka Kondo,2016,Nature Communications,10.1038/ncomms13616,https://openalex.org/W2560385907,,"Targeting self-renewal is an important goal in cancer therapy and recent studies have focused on Notch signalling in the maintenance of stemness of glioma stem cells (GSCs). Understanding cancer-specific Notch regulation would improve specificity of targeting this pathway. In this study, we find that Notch1 activation in GSCs specifically induces expression of the lncRNA, TUG1. TUG1 coordinately promotes self-renewal by sponging miR-145 in the cytoplasm and recruiting polycomb to repress differentiation genes by locus-specific methylation of histone H3K27 via YY1-binding activity in the nucleus. Furthermore, intravenous treatment with antisense oligonucleotides targeting TUG1 coupled with a drug delivery system induces GSC differentiation and efficiently represses GSC growth in vivo. Our results highlight the importance of the Notch-lncRNA axis in regulating self-renewal of glioma cells and provide a strong rationale for targeting TUG1 as a specific and potent therapeutic approach to eliminate the GSC population.","dblp, openalex, wos, scopus, ieee",human,,human,
pending,Identification and analysis of functional elements in 1% of the human genome by the ENCODE pilot project,Ewan Birney; Paul Flicek; Damian Keefe; Ari Löytynoja; Simon Whelan; Fabio Pardi; Tim Massingham; Abel Ureta‐Vidal; Benedict Paten; Nick Goldman; Ewan Birney; J Stamatoyannopoulos; Robert E. Thurman; Michael S. Kuehn; Shane Neph; Nathan Day; Michael O. Dorschner; Jeff Goldy; Andrew Haydock; Richard Humbert; Kirsten Lee; Fidencio Neri; Peter J. Sabo; R Sandström; Anthony Shafer; Molly Weaver; William Stafford Noble; Anindya Dutta; Christopher M. Taylor; Ankit Malhotra; Patrick J. Boyle; Neerja Karnani; Grégory Lefebvre; Man Yu; Roderic Guigó; Tyler Alioto; France Denoeud; Robert Castelo; Julien Lagarde; Josep F. Abril; Núria López-Bigas; Eduardo Eyras; T Gingeras; Philipp Kapranov; Srinka Ghosh; Sujit Dike; Jill Cheng; Jörg Drenkow; Ian Bell; Sylvain Foissac; Evelyn J. Cheung; Madhavan Ganesh; Sandeep Patel; Hari Tammana; David A. Nix; Elliott H. Margulies; Francis S. Collins; E GREEN; James C. Mullikin; Gerard G. Bouffard; Jacquelyn R. Idol; Valerie V.B. Maduro; Robert W. Blakesley; Zhiping Weng; Yutao Fu; Ulaş Karaöz; Anason Halees; Xiaoling Zhang; Mousheng Xu; Jane M. Lin; Hennady P. Shulha; Jaafar N. Haidar; Yong Yu; M Snyder; Ugrappa Nagalakshmi; Jiaqian Wu; Ghia Euskirchen; Stephen E. Hartman; Alexander E. Urban; Peter R. Kraus; Joel Rozowsky; Deyou Zheng; Jan O. Korbel; Olof Emanuelsson; Mark Gerstein; Michael Seringhaus; Zhengdong D. Zhang; Emmanouil T. Dermitzakis; Christoph M. Koch; Robert Andrews; N. P. Carter; Gayle K. Clelland; Pawandeep Dhami; Shane C. Dillon; Heike Fiegler; Keith James; D Vetrie; Sarah Wilcox; Ian Dunham; Adam Frankish,2007,Nature,10.1038/nature05874,https://openalex.org/W2102304447,,,"dblp, openalex, wos, scopus, ieee",human,,human,
pending,Haematopoietic and immune defects associated with GATA2 mutation,Matthew Collin; Rachel Dickinson; Venetia Bigley,2015,British Journal of Haematology,10.1111/bjh.13317,https://openalex.org/W1985540837,,"Heterozygous familial or sporadic GATA2 mutations cause a multifaceted disorder, encompassing susceptibility to infection, pulmonary dysfunction, autoimmunity, lymphoedema and malignancy. Although often healthy in childhood, carriers of defective GATA2 alleles develop progressive loss of mononuclear cells (dendritic cells, monocytes, B and Natural Killer lymphocytes), elevated FLT3 ligand, and a 90% risk of clinical complications, including progression to myelodysplastic syndrome (MDS) by 60 years of age. Premature death may occur from childhood due to infection, pulmonary dysfunction, solid malignancy and MDS/acute myeloid leukaemia. GATA2 mutations include frameshifts, amino acid substitutions, insertions and deletions scattered throughout the gene but concentrated in the region encoding the two zinc finger domains. Mutations appear to cause haplo-insufficiency, which is known to impair haematopoietic stem cell survival in animal models. Management includes genetic counselling, prevention of infection, cancer surveillance, haematopoietic monitoring and, ultimately, stem cell transplantation upon the development of MDS or another life-threatening complication.","dblp, openalex, wos, scopus, ieee",human,,human,
